country,year,gender,age,share_first_quintile_inc,share_second_quintile_inc,share_third_quintile_inc,share_fourth_quintile_inc,share_fifth_quintile_inc,share_bottom50_inc,share_top10_pct_inc,share_top5_pct_inc,share_top1_pct_inc,share_top0_5_pct_inc,share_top0_1_pct_inc,share_top0_01_pct_inc,gini_coefficient,nobs_log_inc,mean_log_inc,std_log_inc,p1_log_inc,p2_5_log_inc,p5_log_inc,p10_log_inc,p12_5_log_inc,p25_log_inc,p37_5_log_inc,p50_log_inc,p62_5_log_inc,p75_log_inc,p87_5_log_inc,p90_log_inc,p95_log_inc,p97_5_log_inc,p99_log_inc,p99_9_log_inc,p99_99_log_inc,p9010_log_inc,p9050_log_inc,p5010_log_inc,kelley_log_inc,crows_log_inc,nobs_res_log_inc,mean_res_log_inc,std_res_log_inc,p1_res_log_inc,p2_5_res_log_inc,p5_res_log_inc,p10_res_log_inc,p12_5_res_log_inc,p25_res_log_inc,p37_5_res_log_inc,p50_res_log_inc,p62_5_res_log_inc,p75_res_log_inc,p87_5_res_log_inc,p90_res_log_inc,p95_res_log_inc,p97_5_res_log_inc,p99_res_log_inc,p99_9_res_log_inc,p99_99_res_log_inc,p9010_res_log_inc,p9050_res_log_inc,p5010_res_log_inc,kelley_res_log_inc,crows_res_log_inc,nobs_log_perm_inc,mean_log_perm_inc,std_log_perm_inc,p1_log_perm_inc,p2_5_log_perm_inc,p5_log_perm_inc,p10_log_perm_inc,p12_5_log_perm_inc,p25_log_perm_inc,p37_5_log_perm_inc,p50_log_perm_inc,p62_5_log_perm_inc,p75_log_perm_inc,p87_5_log_perm_inc,p90_log_perm_inc,p95_log_perm_inc,p97_5_log_perm_inc,p99_log_perm_inc,p99_9_log_perm_inc,p99_99_log_perm_inc,p9010_log_perm_inc,p9050_log_perm_inc,p5010_log_perm_inc,kelley_log_perm_inc,crows_log_perm_inc,share_below_mininc,nobs_earn_inc,mean_earn_inc,std_earn_inc,p1_earn_inc,p2_5_earn_inc,p5_earn_inc,p10_earn_inc,p12_5_earn_inc,p25_earn_inc,p37_5_earn_inc,p50_earn_inc,p62_5_earn_inc,p75_earn_inc,p87_5_earn_inc,p90_earn_inc,p95_earn_inc,p97_5_earn_inc,p99_earn_inc,p99_9_earn_inc,p99_99_earn_inc,p9010_earn_inc,p9050_earn_inc,p5010_earn_inc,kelley_earn_inc,crows_earn_inc,nobs_res_1yr_log_chg,mean_res_1yr_log_chg,std_res_1yr_log_chg,skew_res_1yr_log_chg,kurt_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,kelley_res_1yr_log_chg,crows_res_1yr_log_chg,nobs_res_5yr_log_chg,mean_res_5yr_log_chg,std_res_5yr_log_chg,skew_res_5yr_log_chg,kurt_res_5yr_log_chg,p1_res_5yr_log_chg,p2_5_res_5yr_log_chg,p5_res_5yr_log_chg,p10_res_5yr_log_chg,p12_5_res_5yr_log_chg,p25_res_5yr_log_chg,p37_5_res_5yr_log_chg,p50_res_5yr_log_chg,p62_5_res_5yr_log_chg,p75_res_5yr_log_chg,p87_5_res_5yr_log_chg,p90_res_5yr_log_chg,p95_res_5yr_log_chg,p97_5_res_5yr_log_chg,p99_res_5yr_log_chg,p99_9_res_5yr_log_chg,p99_99_res_5yr_log_chg,p9010_res_5yr_log_chg,p9050_res_5yr_log_chg,p5010_res_5yr_log_chg,kelley_res_5yr_log_chg,crows_res_5yr_log_chg,nobs_arcpct_1yr_chg,mean_arcpct_1yr_chg,std_arcpct_1yr_chg,skew_arcpct_1yr_chg,kurt_arcpct_1yr_chg,p1_arcpct_1yr_chg,p2_5_arcpct_1yr_chg,p5_arcpct_1yr_chg,p10_arcpct_1yr_chg,p12_5_arcpct_1yr_chg,p25_arcpct_1yr_chg,p37_5_arcpct_1yr_chg,p50_arcpct_1yr_chg,p62_5_arcpct_1yr_chg,p75_arcpct_1yr_chg,p87_5_arcpct_1yr_chg,p90_arcpct_1yr_chg,p95_arcpct_1yr_chg,p97_5_arcpct_1yr_chg,p99_arcpct_1yr_chg,p99_9_arcpct_1yr_chg,p99_99_arcpct_1yr_chg,p9010_arcpct_1yr_chg,p9050_arcpct_1yr_chg,p5010_arcpct_1yr_chg,kelley_arcpct_1yr_chg,crows_arcpct_1yr_chg,nobs_arcpct_5yr_chg,mean_arcpct_5yr_chg,std_arcpct_5yr_chg,skew_arcpct_5yr_chg,kurt_arcpct_5yr_chg,p1_arcpct_5yr_chg,p2_5_arcpct_5yr_chg,p5_arcpct_5yr_chg,p10_arcpct_5yr_chg,p12_5_arcpct_5yr_chg,p25_arcpct_5yr_chg,p37_5_arcpct_5yr_chg,p50_arcpct_5yr_chg,p62_5_arcpct_5yr_chg,p75_arcpct_5yr_chg,p87_5_arcpct_5yr_chg,p90_arcpct_5yr_chg,p95_arcpct_5yr_chg,p97_5_arcpct_5yr_chg,p99_arcpct_5yr_chg,p99_9_arcpct_5yr_chg,p99_99_arcpct_5yr_chg,p9010_arcpct_5yr_chg,p9050_arcpct_5yr_chg,p5010_arcpct_5yr_chg,kelley_arcpct_5yr_chg,crows_arcpct_5yr_chg,autocorr_lag1_res_log_inc,autocorr_lag2_res_log_inc,autocorr_lag3_res_log_inc,autocorr_lag4_res_log_inc,autocorr_lag5_res_log_inc,autocorr_lag1_res_1yr_log_chg,autocorr_lag2_res_1yr_log_chg,autocorr_lag3_res_1yr_log_chg,autocorr_lag4_res_1yr_log_chg,autocorr_lag5_res_1yr_log_chg,Pareto_tail_index_5pct,Pareto_tail_index_1pct
AUS,2002,All genders,25,,,,,,,,,,,,,,189850,10.4788,.64872241,8.5402365,8.7750816,9.0767641,9.4903355,9.6532402,10.19202,10.48494,10.65419,10.78539,10.91876,11.07012,11.11205,11.23507,11.35559,11.51543,11.94364,12.67333,1.6217146,.45785999,1.1638546,-.43533838,3.5508003,189850,-7.9000001e-10,.64665878,-1.9358751,-1.7021689,-1.398815,-.9871875,-.82314903,-.28510311,.0072801001,.17641141,.3084906,.44064701,.59397191,.63209891,.74819171,.8632161,1.016338,1.436842,2.1654749,1.6192864,.45568752,1.1635989,-.43717489,3.5348048,,,,,,,,,,,,,,,,,,,,,,,,,,0,189850,42082.82,21683.77,5116.5479,6470.9722,8749.6094,13231.22,15572.17,26689.42,35772.82,42369.891,48309.77,55202.051,64223.141,66973.523,75740.938,85441.461,100251.1,153836.2,319123.41,53742.305,24603.633,29138.672,-.084384903,2.7696669,174505,.069369704,.57169491,-.70914203,8.6334677,-1.952897,-1.357331,-.89635497,-.4528802,-.33450249,-.064492501,.0140797,.068884604,.13179751,.2428529,.53753817,.65183508,.98676562,1.3229671,1.7035151,2.3271451,2.700551,1.1047153,.58295047,.52176481,.055385903,8.7208014,160788,.13591009,.83777869,-.53268641,5.4594841,-2.529671,-1.949324,-1.397763,-.80591011,-.62575281,-.17796309,.0079715,.1559983,.3108069,.52436221,.94682568,1.08441,1.505901,1.869684,2.251379,2.89709,3.3117471,1.8903201,.92841166,.9619084,-.017720141,5.4376626,192539,.0146122,.72273213,-.25019059,5.2304568,-2,-2,-1.5274611,-.75420702,-.55278152,-.14564499,-.046373401,.0153183,.086834602,.2267094,.6422959,.79241902,1.319952,1.879859,2,2,2,1.5466261,.77710074,.76952529,.0048980503,10.419802,193661,-.0233991,1.007722,-.2329115,2.9239669,-2,-2,-2,-1.807259,-1.446741,-.4385125,-.1352637,.043882899,.22516111,.49779931,1.086327,1.28274,1.844164,2,2,2,2,3.089999,1.2388572,1.8511418,-.19815044,4.2720809,,,,,,,,,,,,
AUS,2003,All genders,25,,,,,,,,,,,,,,191787,10.47756,.64555389,8.553154,8.7886658,9.0808372,9.4964113,9.6528769,10.18821,10.48431,10.65294,10.784,10.91822,11.06715,11.10911,11.23273,11.35209,11.50996,11.88651,12.4748,1.6126986,.45617008,1.1565285,-.4342773,3.5114915,191787,1.1800000e-09,.64344841,-1.920863,-1.6872,-1.3932641,-.9775393,-.82184857,-.2857573,.0058768,.17796209,.30796269,.43894839,.59215242,.63012427,.74640059,.85880399,1.008647,1.384746,1.9469399,1.6076636,.45216218,1.1555014,-.43749151,3.5131557,,,,,,,,,,,,,,,,,,,,,,,,,,0,191787,41960.762,21316.449,5183.0771,6559.4722,8785.3154,13311.87,15566.51,26587.74,35750.27,42316.949,48242.93,55172.41,64032.602,66776.75,75563.5,85143.547,99703.68,145293.2,261659,53464.879,24459.801,29005.078,-.085014261,2.7491686,177386,.0824598,.56537342,-.6315977,8.3945522,-1.89361,-1.323172,-.85848051,-.43697149,-.31754389,-.057624899,.021578699,.076617204,.1419584,.25651929,.55455601,.66827202,1.008823,1.325768,1.693308,2.350781,2.7590661,1.1052434,.59165484,.51358867,.070632555,8.4322424,163009,.15074369,.84575069,-.55686599,5.5453391,-2.590235,-1.965265,-1.368718,-.78244537,-.60801268,-.17358831,.016343599,.1672072,.3265776,.54859197,.96624231,1.108954,1.536121,1.897077,2.2752099,2.8916709,3.373147,1.8913994,.94174677,.94965255,-.0041798581,5.3481688,196217,.024031,.72653818,-.18773089,5.20612,-2,-2,-1.483116,-.72944063,-.53967297,-.1464652,-.048443101,.0114997,.0866694,.2333174,.66508949,.82327771,1.368197,1.9849221,2,2,2,1.5527184,.81177801,.74094033,.045621715,10.49264,196753,-.0073000002,1.0123039,-.1777897,2.9241669,-2,-2,-2,-1.727361,-1.378031,-.43140879,-.1465362,.031401198,.2209588,.5163188,1.143622,1.357145,1.959577,2,2,2,2,3.084506,1.3257438,1.7587621,-.14038499,4.2206221,,,,,,,,,,,,
AUS,2004,All genders,25,,,,,,,,,,,,,,197293,10.48802,.65123248,8.5572968,8.7931585,9.0823336,9.4940624,9.6530237,10.19096,10.49215,10.66558,10.79935,10.93345,11.08355,11.12449,11.24718,11.37209,11.53503,11.95418,12.72234,1.6304274,.45890999,1.1715174,-.43706787,3.4733565,197293,1.4500000e-09,.64855069,-1.92544,-1.688558,-1.403421,-.99327582,-.83067203,-.2962234,.0036352,.1791051,.31181651,.4445546,.59703708,.63565522,.75038218,.86393958,1.020426,1.426131,2.1868989,1.628931,.45655012,1.1723809,-.43944818,3.4456985,,,,,,,,,,,,,,,,,,,,,,,,,,0,197293,42553.32,22212.41,5204.5918,6589.0161,8798.4727,13280.63,15568.8,26661.061,36031.57,42855.309,48988.941,56019.289,65091.84,67811.492,76663.383,86863.133,102235.2,155465.91,335153,54530.863,24956.184,29574.68,-.084695086,2.734297,185592,.1387752,.58818889,-.76486671,8.2680473,-1.946574,-1.361782,-.87285608,-.41150859,-.28444219,-.0025373001,.081252001,.1403567,.20952161,.32903269,.63332063,.74628443,1.083119,1.3997591,1.763006,2.4021239,2.789479,1.157793,.60592771,.55186528,.046694379,8.3286819,166032,.1525095,.84458572,-.55679482,5.4726982,-2.566308,-1.947065,-1.378422,-.78614461,-.60644782,-.17603409,.016255699,.1690053,.32978991,.55609852,.97489291,1.1166919,1.533456,1.893121,2.2601669,2.8684199,3.3123469,1.9028366,.94768667,.95514989,-.0039221533,5.2452054,205859,.045191798,.73686773,-.240238,5.0243082,-2,-2,-1.512747,-.75316292,-.5508824,-.12966231,-.025873199,.039384,.1194796,.27335209,.70367599,.86339492,1.394263,2,2,2,2,1.6165578,.82401091,.79254693,.019463567,9.9252043,199999,-.0023496,1.009614,-.1806412,2.9276221,-2,-2,-2,-1.697293,-1.352281,-.42791551,-.1468011,.033899501,.22748271,.52626258,1.142081,1.355607,1.954579,2,2,2,2,3.0529001,1.3217075,1.7311926,-.13412987,4.1920896,,,,,,,,,,,,
AUS,2005,All genders,25,,,,,,,,,,,,,,216328,10.46496,.68005967,8.5410604,8.735815,8.9977379,9.4087915,9.5678034,10.13434,10.4658,10.65767,10.79416,10.93244,11.09872,11.14105,11.26357,11.39115,11.55695,11.99703,12.62753,1.7322588,.48338032,1.2488785,-.4419075,3.3270731,216328,-1.3300000e-09,.67778432,-1.921077,-1.7286839,-1.465515,-1.053266,-.89394373,-.32717821,.001916,.1938529,.33084089,.46752089,.63426071,.67558938,.79053861,.90667582,1.066823,1.494043,2.109751,1.7288554,.48173648,1.2471189,-.44271052,3.3161731,,,,,,,,,,,,,,,,,,,,,,,,,,0,216328,42231.219,22992.43,5120.77,6221.8042,8084.7759,12195.12,14296.97,25193.369,35094.441,42517.488,48735.18,55962.602,66086.773,68943.688,77930.438,88534.406,104500.8,162272.09,304835.5,56748.566,26426.199,30322.367,-.068656676,2.6751595,201862,.1245021,.59634042,-.69744748,7.969974,-1.959691,-1.376054,-.89692509,-.44271389,-.3143436,-.0253368,.059271298,.1195036,.1956328,.3242459,.63910758,.75527418,1.088738,1.4091901,1.7804869,2.395833,2.768352,1.197988,.63577056,.56221747,.06139718,7.9673395,178955,.1246707,.8545453,-.52011919,5.3649669,-2.602561,-1.971444,-1.415827,-.83041501,-.654998,-.2128479,-.016243201,.1392048,.30159071,.53143382,.9691093,1.111681,1.53332,1.8904459,2.25528,2.872689,3.368911,1.942096,.97247618,.96961981,.0014707686,5.1887474,227378,.0350364,.74993891,-.1083783,4.755589,-2,-2,-1.4920551,-.78240567,-.58467472,-.1649158,-.062394202,.0043822001,.096233897,.27324271,.74984682,.91621208,1.484827,1.954945,2,2,2,1.6986177,.91182989,.78678787,.073613986,9.026288,215325,-.0092622004,.99974668,-.095921099,2.9192431,-2,-2,-2,-1.569761,-1.268603,-.4567022,-.1855903,-.0042993999,.19486681,.5095194,1.173136,1.388643,1.920507,2,2,2,2,2.9584041,1.3929424,1.5654616,-.058314957,4.1398373,,,,,,,,,,,,
AUS,2006,All genders,25,,,,,,,,,,,,,,229257,10.45453,.69621551,8.5328264,8.7091484,8.9563789,9.3594398,9.5233669,10.1074,10.45146,10.65182,10.79478,10.93604,11.10266,11.14537,11.27851,11.41835,11.60738,11.99023,12.6265,1.7859297,.49354935,1.2923803,-.4472914,3.2694559,229257,-7.8099998e-09,.6937052,-1.922171,-1.742394,-1.494217,-1.091239,-.92856848,-.34376869,-.0020033,.19805279,.34266889,.4821457,.64929807,.69014013,.81296188,.94234979,1.120379,1.488447,2.1157119,1.7813791,.49208733,1.2892917,-.44752091,3.250632,,,,,,,,,,,,,,,,,,,,,,,,,,0,229257,42184.621,23565.971,5078.7808,6058.0801,7757.2158,11607.88,13675.58,24523.711,34594.789,42269.512,48765.34,56164.641,66347.477,69242.797,79103.641,90976.297,109906.3,161173.09,304521.91,57634.918,26973.285,30661.633,-.063995019,2.683809,213134,.1526203,.60941392,-.6991055,7.7594271,-1.964691,-1.386665,-.9076792,-.43999791,-.30429861,.00062579999,.088544697,.1498232,.2276251,.35953119,.68220729,.79821903,1.141351,1.455619,1.829893,2.4107771,2.9051449,1.2382169,.64839584,.5898211,.047305714,7.9193125,187954,.1105138,.84386712,-.50652277,5.4176698,-2.5789371,-1.970201,-1.400259,-.81933123,-.64600372,-.2236557,-.034202501,.1206389,.28265861,.50881302,.94168472,1.086538,1.510257,1.867063,2.2306039,2.8199201,3.3199329,1.9058692,.96589905,.93997014,.013604771,5.2388096,241383,.0421727,.75903428,-.13262279,4.6064038,-2,-2,-1.513523,-.81078279,-.6089915,-.1636108,-.054271299,.0147024,.109034,.29312199,.78026527,.95152491,1.498914,1.9415129,2,2,2,1.7623076,.93682253,.82548517,.063177027,8.6298008,227045,-.023434799,1.001644,-.1227056,2.920841,-2,-2,-2,-1.653295,-1.325417,-.45890439,-.18815731,-.0081935003,.189766,.4960545,1.146268,1.356874,1.883858,2,2,2,2,3.010169,1.3650675,1.6451015,-.09302935,4.1886621,,,,,,,,,,,,
AUS,2007,All genders,25,,,,,,,,,,,,,,244699,10.447,.71486092,8.5333195,8.6971598,8.928731,9.3166304,9.474824,10.07391,10.43439,10.64885,10.79804,10.94485,11.11833,11.16371,11.30735,11.4551,11.65448,12.09515,12.73143,1.8470793,.5148592,1.3322201,-.44251531,3.1666241,244699,4.1699999e-09,.71219993,-1.909723,-1.747586,-1.512857,-1.127188,-.96950293,-.37124109,-.0106101,.2035041,.35440639,.4980683,.67137289,.71602583,.84759951,.98476738,1.173422,1.599936,2.2418721,1.8432138,.51252174,1.3306921,-.44388247,3.143131,,,,,,,,,,,,,,,,,,,,,,,,,,0,244699,42382.289,24667.881,5081.2842,5985.8872,7545.6812,11121.45,13027.58,23716.109,34009.199,42144.16,48924.809,56661.75,67395.508,70524.141,81418.148,94381.109,115206.4,179001.5,338214.31,59402.691,28379.98,31022.711,-.044488396,2.6830628,224287,.1471075,.60952169,-.68617678,7.7312322,-1.9754291,-1.388044,-.90545201,-.43194351,-.3014704,-.0130999,.073422797,.13861351,.2207541,.3567566,.68621129,.80348092,1.140893,1.456899,1.816862,2.398813,2.8382881,1.2354244,.6648674,.570557,.076338463,7.6920185,197453,.085033499,.82896161,-.49174511,5.5163841,-2.5748899,-1.927296,-1.3734111,-.82098281,-.6539858,-.2483266,-.061175201,.0900461,.25262091,.4774172,.89638251,1.039939,1.462373,1.816864,2.187747,2.7950461,3.2745571,1.8609219,.94989294,.91102892,.020884281,5.1590657,253375,.040674999,.75545168,-.058568198,4.5951471,-2,-2,-1.462937,-.78528392,-.59109879,-.176539,-.074265897,-.0013059,.0985047,.28969961,.78807598,.9636848,1.5196,1.95206,2,2,2,1.7489687,.96499068,.78397804,.10349678,8.4764748,235327,-.033803001,.97649592,-.067426197,3.0213709,-2,-2,-2,-1.519183,-1.2177711,-.46552011,-.2127274,-.037307601,.1578988,.46152699,1.1012959,1.313817,1.85578,2,2,2,2,2.8330002,1.3511246,1.4818754,-.046152759,4.3147755,,,,,,,,,,,,
AUS,2008,All genders,25,,,,,,,,,,,,,,255481,10.46743,.72256893,8.5201359,8.6989183,8.9383202,9.3322287,9.4906874,10.08958,10.44992,10.6676,10.8202,10.97019,11.14623,11.19631,11.34785,11.49882,11.7025,12.1023,12.70367,1.8640814,.52871037,1.335371,-.43273896,3.1795011,255481,-5.2000000e-09,.71994197,-1.944117,-1.767712,-1.526382,-1.133358,-.97451419,-.3761265,-.0161398,.2028152,.35636729,.50432658,.67936587,.72465819,.86567283,1.005473,1.198193,1.591604,2.1802189,1.8580163,.52184296,1.3361732,-.43827939,3.149725,,,,,,,,,,,,,,,,,,,,,,,,,,0,255481,43446.121,25493.301,5014.7329,5996.4199,7618.3921,11296.28,13235.89,24090.73,34541.629,42941.621,50021.02,58115.879,69302.109,72861.188,84782.75,98598.898,120873.8,180285.3,328951.5,61564.906,29919.566,31645.34,-.028031772,2.7215893,232065,.1148693,.61532289,-.77372462,7.8201199,-2.044832,-1.465009,-.97560781,-.49323499,-.35935441,-.037270401,.064788498,.1283471,.2023478,.32643709,.63572419,.74776042,1.08734,1.408658,1.781224,2.43823,2.8968649,1.2409954,.61941332,.62158209,-.0017476089,7.9010391,203766,.061843101,.82565558,-.48857811,5.573967,-2.5866261,-1.945021,-1.387537,-.84443319,-.68352461,-.26464611,-.078229398,.071235202,.2294126,.4464812,.86301953,1.001945,1.42731,1.79496,2.1758299,2.7923999,3.1815269,1.8463782,.93070984,.91566837,.0081464732,5.2592287,260364,.0090239998,.74524993,-.12898029,4.6545238,-2,-2,-1.519861,-.85096252,-.6499716,-.1969337,-.070941404,-.00076119998,.086475901,.25489399,.71282601,.8756488,1.411081,1.85944,2,2,2,1.7266114,.87641001,.85020131,.015179269,8.5418406,240208,-.048213001,.95986962,-.059525099,3.0882151,-2,-2,-2,-1.490132,-1.1964329,-.4695676,-.219063,-.046061501,.1415382,.4292087,1.0422291,1.255108,1.81078,2,2,2,2,2.74524,1.3011695,1.4440705,-.052054081,4.4504957,,,,,,,,,,,,
AUS,2009,All genders,25,,,,,,,,,,,,,,258260,10.45847,.73026961,8.5215769,8.6818838,8.9258347,9.3183203,9.4763823,10.05896,10.42812,10.65693,10.81599,10.97146,11.15281,11.20361,11.35846,11.51338,11.71789,12.09213,12.5766,1.8852901,.54668045,1.3386097,-.42005697,3.1030083,258260,1.9199999e-09,.72788221,-1.935026,-1.771649,-1.530587,-1.138913,-.97859371,-.39735949,-.028755801,.20093641,.36210859,.51495129,.69613183,.74154222,.8840543,1.027634,1.221836,1.594768,2.0701599,1.8804553,.54060578,1.3398495,-.42502668,3.0683436,,,,,,,,,,,,,,,,,,,,,,,,,,0,258260,43302.84,25949.199,5021.9692,5895.144,7523.8569,11140.26,13047.9,23364.1,33796.719,42486.02,49810.988,58189.23,69759.398,73394.594,85687.57,100045.2,122747.8,178462.41,289698.81,62254.336,30908.574,31345.76,-.0070225717,2.7035091,232343,.1078172,.61163098,-.85371011,7.9351239,-2.063375,-1.486794,-.99361658,-.50579977,-.36786291,-.0272345,.071339197,.12935141,.196775,.3146615,.6113565,.72459197,1.05796,1.376582,1.7540669,2.421294,2.8382111,1.2303917,.59524059,.63515115,-.032437276,8.3749914,205093,.062191699,.82745463,-.45445451,5.5017819,-2.5607281,-1.932955,-1.393634,-.84621769,-.68333131,-.26639801,-.082101598,.065086797,.22299311,.44792309,.87843049,1.0201139,1.440147,1.808213,2.1795061,2.8173931,3.2828779,1.8663316,.95502716,.91130447,.023427075,5.2373757,260517,-.0035657999,.73855251,-.1090141,4.710938,-2,-1.981733,-1.513382,-.86654878,-.66571242,-.1975265,-.074287601,-.0099630002,.069733299,.2300878,.68075562,.84321582,1.390366,1.838729,2,2,2,1.7097646,.8531788,.8565858,-.0019926729,8.9343643,243280,-.044396799,.9690944,-.060800999,3.042551,-2,-2,-2,-1.5107549,-1.215066,-.4711664,-.2187082,-.046731599,.1431223,.44193929,1.07503,1.285957,1.825382,2,2,2,2,2.7967119,1.3326886,1.4640234,-.046960425,4.3806539,,,,,,,,,,,,
AUS,2010,All genders,25,,,,,,,,,,,,,,254535,10.43952,.73551649,8.5181789,8.6823893,8.9116592,9.2935333,9.4511347,10.02433,10.39469,10.63433,10.79921,10.96138,11.14936,11.19943,11.35043,11.50851,11.72168,12.14325,12.74457,1.9058971,.56510067,1.3407965,-.40699771,3.0159764,254535,-1.7600000e-09,.73334849,-1.9194289,-1.75887,-1.526845,-1.145709,-.98449719,-.41417041,-.043690499,.1972263,.36517629,.52300721,.71171552,.75790322,.89840519,1.0450979,1.247812,1.656231,2.2603829,1.9036123,.56067693,1.3429353,-.41093367,2.9919279,,,,,,,,,,,,,,,,,,,,,,,,,,0,254535,42721.641,26553.98,5004.9321,5898.1191,7417.96,10867.51,12722.59,22568.98,32685.461,41536.789,48981.988,57605.871,69519.383,73088.594,85002.094,99559.633,123213.7,187821.8,342685.59,62221.086,31551.805,30669.279,.014183703,2.6732256,231380,.1237112,.61569488,-.66421592,7.646873,-2.022902,-1.426981,-.94198698,-.45980731,-.3308301,-.0353841,.051194701,.1137119,.19325601,.33705381,.67134237,.78682292,1.122344,1.448478,1.815466,2.4312379,2.8630509,1.2466302,.67311102,.57351923,.079888798,7.7206397,202954,.072527297,.83067429,-.4153958,5.3642979,-2.5518169,-1.911309,-1.371222,-.8347559,-.67393053,-.26683369,-.083640099,.065206602,.2290583,.46377081,.9122349,1.05485,1.4717751,1.830297,2.1869221,2.799865,3.2891331,1.8896059,.98964339,.89996248,.047460113,5.1212468,260943,.0286917,.75335401,-.1150411,4.5797558,-2,-2,-1.5130301,-.81700939,-.61002171,-.18068691,-.075055502,-.0054875002,.090973698,.286396,.76908791,.9325155,1.474108,1.877859,2,2,2,1.7495248,.938003,.81152189,.072294556,8.3022928,241020,-.026195001,.97173297,-.090222001,3.013375,-2,-2,-2,-1.490584,-1.194383,-.4548907,-.206398,-.032972399,.1650051,.4778347,1.107935,1.311482,1.814788,2,2,2,2,2.8020658,1.3444544,1.4576116,-.040383473,4.2885075,,,,,,,,,,,,
AUS,2011,All genders,25,,,,,,,,,,,,,,258912,10.45328,.73385543,8.5313559,8.6939545,8.9284754,9.3164692,9.4723167,10.04438,10.40759,10.64017,10.80533,10.96771,11.16144,11.2131,11.37477,11.54614,11.76708,12.15257,12.73962,1.8966312,.57293034,1.3237009,-.39584425,3.0890226,258912,4.9800000e-09,.73086149,-1.917879,-1.758918,-1.523463,-1.133824,-.97845429,-.40765211,-.044057,.1906188,.35646129,.5169037,.71270019,.75796402,.90597707,1.061926,1.270681,1.6519459,2.250376,1.891788,.5673452,1.3244427,-.4002021,3.0510263,,,,,,,,,,,,,,,,,,,,,,,,,,0,258912,43306.23,26741.939,5071.3159,5966.728,7543.7549,11119.65,12994.96,23026.1,33110.109,41779.738,49282.691,57971.859,70363.938,74095.008,87096.297,103376.9,128937,189581.3,340994.31,62975.359,32315.27,30660.088,.026283003,2.7874675,236139,.1221146,.60861057,-.59248418,7.5504341,-1.961365,-1.395682,-.92277819,-.46895611,-.33791459,-.040091701,.048989199,.1113433,.1916112,.33314309,.66179258,.77734751,1.119774,1.435487,1.804418,2.466557,2.9518349,1.2463036,.66600418,.58029944,.068767153,7.5854907,206090,.075159602,.83160621,-.4444429,5.4648728,-2.5647271,-1.927483,-1.369236,-.83574861,-.67182332,-.25760931,-.074877404,.070980698,.23238879,.4652122,.90544158,1.04793,1.4712321,1.830826,2.1974831,2.7892809,3.2693789,1.8836787,.97694933,.90672934,.037278116,5.1994982,265807,.0202193,.74866098,-.0289855,4.6173,-2,-1.982754,-1.4562221,-.80237353,-.615466,-.1989024,-.090752304,-.0212848,.076439202,.27140301,.75497061,.92520601,1.481576,1.9181139,2,2,2,1.7275796,.94649082,.78108871,.095742106,8.2943296,247098,-.0238957,.98839343,-.1049036,2.975033,-2,-2,-2,-1.581804,-1.2451921,-.4557417,-.19452579,-.021440901,.1747037,.48678979,1.1322351,1.339402,1.864157,2,2,2,2,2.921206,1.3608428,1.5603632,-.068300679,4.2438898,,,,,,,,,,,,
